execution,wrhs_batch,BUCKET,task,Dependency
1,1,1,PDF_CHUNK1,ROOT_PDF_CHUNK1
1,1,2,PDF_CHUNK2,ROOT_PDF_CHUNK1
1,1,3,PDF_CHUNK3,ROOT_PDF_CHUNK1
1,1,4,PDF_CHUNK4,ROOT_PDF_CHUNK1
1,1,5,PDF_CHUNK5,ROOT_PDF_CHUNK1
1,1,6,PDF_CHUNK6,ROOT_PDF_CHUNK1
1,1,7,PDF_CHUNK7,ROOT_PDF_CHUNK1
1,1,8,PDF_CHUNK8,ROOT_PDF_CHUNK1
1,1,9,PDF_CHUNK9,ROOT_PDF_CHUNK1
1,1,10,PDF_CHUNK10,ROOT_PDF_CHUNK1
2,1,11,PDF_CHUNK11,ROOT_PDF_CHUNK1
2,1,12,PDF_CHUNK12,ROOT_PDF_CHUNK1
2,1,13,PDF_CHUNK13,ROOT_PDF_CHUNK1
2,1,14,PDF_CHUNK14,ROOT_PDF_CHUNK1
2,1,15,PDF_CHUNK15,ROOT_PDF_CHUNK1
2,1,16,PDF_CHUNK16,ROOT_PDF_CHUNK1
2,1,17,PDF_CHUNK17,ROOT_PDF_CHUNK1
2,1,18,PDF_CHUNK18,ROOT_PDF_CHUNK1
2,1,19,PDF_CHUNK19,ROOT_PDF_CHUNK1
2,1,20,PDF_CHUNK20,ROOT_PDF_CHUNK1
3,1,21,PDF_CHUNK21,PDF_CHUNK1
3,1,22,PDF_CHUNK22,PDF_CHUNK2
3,1,23,PDF_CHUNK23,PDF_CHUNK3
3,1,24,PDF_CHUNK24,PDF_CHUNK4
3,1,25,PDF_CHUNK25,PDF_CHUNK5
3,1,26,PDF_CHUNK26,PDF_CHUNK6
3,1,27,PDF_CHUNK27,PDF_CHUNK7
3,1,28,PDF_CHUNK28,PDF_CHUNK8
3,1,29,PDF_CHUNK29,PDF_CHUNK9
3,1,30,PDF_CHUNK30,PDF_CHUNK10
4,1,31,PDF_CHUNK31,PDF_CHUNK11
4,1,32,PDF_CHUNK32,PDF_CHUNK12
4,1,33,PDF_CHUNK33,PDF_CHUNK13
4,1,34,PDF_CHUNK34,PDF_CHUNK14
4,1,35,PDF_CHUNK35,PDF_CHUNK15
4,1,36,PDF_CHUNK36,PDF_CHUNK16
4,1,37,PDF_CHUNK37,PDF_CHUNK17
4,1,38,PDF_CHUNK38,PDF_CHUNK18
4,1,39,PDF_CHUNK39,PDF_CHUNK19
4,1,40,PDF_CHUNK40,PDF_CHUNK20
5,1,41,PDF_CHUNK41,PDF_CHUNK21
5,1,42,PDF_CHUNK42,PDF_CHUNK22
5,1,43,PDF_CHUNK43,PDF_CHUNK23
